Si No,Volume ,V/ C Ratio,Speed
1,825,0.30,120.00
2,824,0.30,119.96
3,823,0.30,119.92
4,822,0.30,119.88
5,821,0.30,119.84
6,820,0.30,119.80
7,819,0.30,119.76
8,818,0.30,119.72
9,817,0.30,119.68
10,816,0.30,119.64
11,815,0.30,119.60
12,814,0.30,119.56
13,813,0.30,119.52
14,812,0.30,119.48
15,811,0.29,119.44
16,810,0.29,119.40
17,809,0.29,119.36
18,808,0.29,119.32
19,807,0.29,119.28
20,806,0.29,119.24
21,805,0.29,119.20
22,804,0.29,119.16
23,803,0.29,119.12
24,802,0.29,119.08
25,801,0.29,119.04
26,800,0.29,119.00
27,799,0.29,118.96
28,798,0.29,118.92
29,797,0.29,118.88
30,796,0.29,118.84
31,795,0.29,118.80
32,794,0.29,118.76
33,793,0.29,118.72
34,792,0.29,118.68
35,791,0.29,118.64
36,790,0.29,118.60
37,789,0.29,118.56
38,788,0.29,118.52
39,787,0.29,118.48
40,786,0.29,118.44
41,785,0.29,118.40
42,784,0.29,118.36
43,783,0.28,118.32
44,782,0.28,118.28
45,781,0.28,118.24
46,780,0.28,118.20
47,779,0.28,118.16
48,778,0.28,118.12
49,777,0.28,118.08
50,776,0.28,118.04
51,775,0.28,118.00
52,774,0.28,117.96
53,773,0.28,117.92
54,772,0.28,117.88
55,771,0.28,117.84
56,770,0.28,117.80
57,769,0.28,117.76
58,768,0.28,117.72
59,767,0.28,117.68
60,766,0.28,117.64
61,765,0.28,117.60
62,764,0.28,117.56
63,763,0.28,117.52
64,762,0.28,117.48
65,761,0.28,117.44
66,760,0.28,117.40
67,759,0.28,117.36
68,758,0.28,117.32
69,757,0.28,117.28
70,756,0.27,117.24
71,755,0.27,117.20
72,754,0.27,117.16
73,753,0.27,117.12
74,752,0.27,117.08
75,751,0.27,117.04
76,750,0.27,117.00
77,749,0.27,116.96
78,748,0.27,116.92
79,747,0.27,116.88
80,746,0.27,116.84
81,745,0.27,116.80
82,744,0.27,116.76
83,743,0.27,116.72
84,742,0.27,116.68
85,741,0.27,116.64
86,740,0.27,116.60
87,739,0.27,116.56
88,738,0.27,116.52
89,737,0.27,116.48
90,736,0.27,116.44
91,735,0.27,116.40
92,734,0.27,116.36
93,733,0.27,116.32
94,732,0.27,116.28
95,731,0.27,116.24
96,730,0.27,116.20
97,729,0.27,116.16
98,728,0.26,116.12
99,727,0.26,116.08
100,726,0.26,116.04
101,550,0.28,116.00
102,548,0.27,115.96
103,546,0.27,115.92
104,544,0.27,115.88
105,542,0.27,115.84
106,540,0.27,115.80
107,538,0.27,115.76
108,536,0.27,115.72
109,534,0.27,115.68
110,532,0.27,115.64
111,530,0.27,115.60
112,528,0.26,115.56
113,526,0.26,115.52
114,524,0.26,115.48
115,522,0.26,115.44
116,520,0.26,115.40
117,518,0.26,115.36
118,516,0.26,115.32
119,514,0.26,115.28
120,512,0.26,115.24
121,510,0.26,115.20
122,508,0.25,115.16
123,506,0.25,115.12
124,504,0.25,115.08
125,502,0.25,115.04
126,500,0.25,115.00
127,498,0.25,114.96
128,496,0.25,114.92
129,494,0.25,114.88
130,492,0.25,114.84
131,490,0.25,114.80
132,488,0.24,114.76
133,486,0.24,114.72
134,484,0.24,114.68
135,482,0.24,114.64
136,480,0.24,114.60
137,478,0.24,114.56
138,476,0.24,114.52
139,474,0.24,114.48
140,472,0.24,114.44
141,470,0.24,114.40
142,468,0.23,114.36
143,466,0.23,114.32
144,464,0.23,114.28
145,462,0.23,114.24
146,460,0.23,114.20
147,458,0.23,114.16
148,456,0.23,114.12
149,454,0.23,114.08
150,452,0.23,114.04
151,450,0.23,114.00
152,448,0.22,113.96
153,446,0.22,113.92
154,444,0.22,113.88
155,442,0.22,113.84
156,440,0.22,113.80
157,438,0.22,113.76
158,436,0.22,113.72
159,434,0.22,113.68
160,432,0.22,113.64
161,430,0.22,113.60
162,428,0.21,113.56
163,426,0.21,113.52
164,424,0.21,113.48
165,422,0.21,113.44
166,420,0.21,113.40
167,418,0.21,113.36
168,416,0.21,113.32
169,414,0.21,113.28
170,412,0.21,113.24
171,410,0.21,113.20
172,408,0.20,113.16
173,406,0.20,113.12
174,404,0.20,113.08
175,402,0.20,113.04
176,400,0.20,113.00
177,398,0.20,112.96
178,396,0.20,112.92
179,394,0.20,112.88
180,392,0.20,112.84
181,390,0.20,112.80
182,388,0.19,112.76
183,386,0.19,112.72
184,384,0.19,112.68
185,382,0.19,112.64
186,380,0.19,112.60
187,378,0.19,112.56
188,376,0.19,112.52
189,374,0.19,112.48
190,372,0.19,112.44
191,370,0.19,112.40
192,368,0.18,112.36
193,366,0.18,112.32
194,364,0.18,112.28
195,362,0.18,112.24
196,360,0.18,112.20
197,358,0.18,112.16
198,356,0.18,112.12
199,354,0.18,112.08
200,352,0.18,112.04
201,375,0.25,112.00
202,370,0.25,111.96
203,365,0.24,111.92
204,360,0.24,111.88
205,355,0.24,111.84
206,350,0.23,111.80
207,345,0.23,111.76
208,340,0.23,111.72
209,335,0.22,111.68
210,330,0.22,111.64
211,325,0.22,111.60
212,320,0.21,111.56
213,315,0.21,111.52
214,310,0.21,111.48
215,305,0.20,111.44
216,300,0.20,111.40
217,295,0.20,111.36
218,290,0.19,111.32
219,285,0.19,111.28
220,280,0.19,111.24
221,275,0.18,111.20
222,270,0.18,111.16
223,265,0.18,111.12
224,260,0.17,111.08
225,255,0.17,111.04
226,250,0.17,111.00
227,245,0.16,110.96
228,240,0.16,110.92
229,235,0.16,110.88
230,230,0.15,110.84
231,225,0.15,110.80
232,220,0.15,110.76
233,215,0.14,110.72
234,210,0.14,110.68
235,205,0.14,110.64
236,200,0.13,110.60
237,195,0.13,110.56
238,190,0.13,110.52
239,185,0.12,110.48
240,180,0.12,110.44
241,175,0.12,110.40
242,170,0.11,110.36
243,165,0.11,110.32
244,160,0.11,110.28
245,155,0.10,110.24
246,150,0.10,110.20
247,145,0.10,110.16
248,140,0.09,110.12
249,135,0.09,110.08
250,130,0.09,110.04
251,125,0.08,110.00
252,120,0.08,109.96
253,115,0.08,109.92
254,110,0.07,109.88
255,105,0.07,109.84
256,100,0.07,109.80
257,95,0.06,109.76
258,90,0.06,109.72
259,85,0.06,109.68
260,80,0.05,109.64
261,75,0.05,109.60
262,70,0.05,109.56
263,65,0.04,109.52
264,60,0.04,109.48
265,55,0.04,109.44
266,50,0.03,109.40
267,45,0.03,109.36
268,40,0.03,109.32
269,35,0.02,109.28
270,30,0.02,109.24
271,25,0.02,109.20
272,375,0.25,109.16
273,380,0.25,109.12
274,385,0.26,109.08
275,390,0.26,109.04
276,395,0.26,109.00
277,400,0.27,108.96
278,405,0.27,108.92
279,410,0.27,108.88
280,415,0.28,108.84
281,420,0.28,108.80
282,425,0.28,108.76
283,430,0.29,108.72
284,435,0.29,108.68
285,436,0.29,108.64
286,437,0.29,108.60
287,438,0.29,108.56
288,439,0.29,108.52
289,440,0.29,108.48
290,441,0.29,108.44
291,442,0.29,108.40
292,443,0.30,108.36
293,444,0.30,108.32
294,445,0.30,108.28
295,446,0.30,108.24
296,447,0.30,108.20
297,448,0.30,108.16
298,449,0.30,108.12
299,450,0.30,108.08
300,451,0.30,108.04
301,405,0.30,108.00
302,402,0.30,107.96
303,399,0.30,107.92
304,396,0.29,107.88
305,393,0.29,107.84
306,390,0.29,107.80
307,387,0.29,107.76
308,384,0.28,107.72
309,381,0.28,107.68
310,378,0.28,107.64
311,375,0.28,107.60
312,372,0.28,107.56
313,369,0.27,107.52
314,366,0.27,107.48
315,363,0.27,107.44
316,360,0.27,107.40
317,357,0.26,107.36
318,354,0.26,107.32
319,351,0.26,107.28
320,348,0.26,107.24
321,345,0.26,107.20
322,342,0.25,107.16
323,339,0.25,107.12
324,336,0.25,107.08
325,333,0.25,107.04
326,330,0.24,107.00
327,327,0.24,106.96
328,324,0.24,106.92
329,321,0.24,106.88
330,318,0.24,106.84
331,315,0.23,106.80
332,312,0.23,106.76
333,309,0.23,106.72
334,306,0.23,106.68
335,303,0.22,106.64
336,300,0.22,106.60
337,297,0.22,106.56
338,294,0.22,106.52
339,291,0.22,106.48
340,288,0.21,106.44
341,285,0.21,106.40
342,282,0.21,106.36
343,279,0.21,106.32
344,276,0.20,106.28
345,273,0.20,106.24
346,270,0.20,106.20
347,267,0.20,106.16
348,264,0.20,106.12
349,261,0.19,106.08
350,258,0.19,106.04
351,255,0.19,106.00
352,252,0.19,105.96
353,249,0.18,105.92
354,246,0.18,105.88
355,243,0.18,105.84
356,240,0.18,105.80
357,237,0.18,105.76
358,234,0.17,105.72
359,231,0.17,105.68
